O*NET-SOC Code,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Change in Employment
11-2011,4.0,4.12,3.88,4.12,3.25,0.62,4.12,4.12,3.25,4.25,4.0,4.12,3.88,3.75,3.0,3.25,3.88,3.12,0.75,0.12,0.0,0.75,0.62,0.0,0.0,0.0,0.0,1.0,4.0,3.12,3.75,3.88,3.62,2.62,3.88,-4240.0
11-3051,4.0600000000000005,3.94,3.75,4.0,3.44,2.5,4.0,3.62,3.5,4.25,3.685,3.875,3.38,3.315,3.62,3.185,3.75,2.25,1.38,1.94,0.0,1.315,3.5,3.06,2.5,2.94,2.5,3.315,3.88,3.56,3.625,3.75,3.5,3.315,3.815,18590.0
11-3061,3.75,4.0,4.0,3.88,3.38,0.25,4.0,3.88,3.62,3.88,4.0,3.88,3.88,3.88,3.62,3.62,3.25,2.75,1.12,0.0,0.0,1.12,1.88,0.0,0.0,0.88,0.0,1.88,3.75,3.62,3.62,3.88,3.88,3.75,4.0,1260.0
11-3111,4.0,4.12,4.0,4.0,2.88,0.25,4.0,3.75,3.0,3.38,3.62,3.62,3.25,3.12,3.12,3.12,3.25,3.12,0.75,0.0,0.0,0.62,1.12,0.0,0.0,0.0,0.0,0.75,4.0,3.88,3.88,3.88,3.62,2.0,3.5,520.0
11-3131,4.0,4.0,4.0,4.75,3.0,0.88,4.0,4.25,5.25,4.25,4.0,4.0,3.88,3.25,4.75,3.62,4.0,2.88,0.75,0.0,0.0,0.75,1.12,0.0,0.0,0.25,0.0,2.12,4.0,3.88,4.0,4.0,3.88,3.0,4.12,8640.0
11-9013,3.75,3.67,3.59,3.75,2.83,2.88,3.87,3.42,3.13,3.71,3.38,3.63,3.37,3.37,3.21,2.91,3.25,2.42,1.04,1.96,0.08,0.71,3.0,2.75,2.21,2.21,1.88,2.87,3.59,3.21,3.25,3.58,3.21,3.25,3.5,760.0
11-9031,4.12,4.0,4.0,4.0,2.88,0.75,4.0,3.88,3.88,4.12,3.88,4.0,3.5,3.62,3.88,4.0,3.5,1.0,0.75,0.0,0.0,0.62,1.5,0.62,0.0,0.88,0.0,1.75,3.88,3.12,3.38,3.88,3.25,3.12,4.0,5210.0
11-9033,4.62,4.25,4.25,4.25,3.12,0.5,4.25,4.0,4.0,4.25,4.0,4.0,3.75,3.75,4.0,3.88,4.0,0.88,0.75,0.0,0.0,0.5,1.38,0.0,0.0,0.0,0.0,0.5,4.0,3.75,3.75,4.0,3.12,3.5,4.0,13810.0
11-9041,4.3149999999999995,3.81,4.0,3.75,3.685,2.875,4.1850000000000005,3.815,3.185,3.94,3.37,3.75,3.565,3.63,3.5,3.065,4.0649999999999995,2.25,1.685,1.06,0.19,1.25,2.81,1.435,0.75,1.81,0.625,3.06,4.0649999999999995,3.56,3.375,3.75,2.565,2.44,3.63,14930.0
11-9071,4.0,3.88,3.75,4.0,3.12,0.75,4.0,3.62,3.62,4.12,3.75,4.12,3.75,3.5,3.75,3.75,3.25,2.0,0.38,0.0,0.0,0.62,1.62,0.12,0.0,0.75,0.0,2.38,3.88,3.12,3.38,4.0,3.0,2.25,3.88,580.0
