O*NET-SOC Code,Title,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Auto label value,Auto probability0,Auto probability1,Auto probability
11-3031.01,Treasurers and Controllers,4.25,4.25,4.12,4.25,4.25,0.25,4.75,4.25,3.38,4.5,3.62,3.62,3.75,3.12,3.12,2.75,4.38,3.12,0.62,0.0,0.0,1.0,1.12,0.12,0.0,0.0,0.0,1.38,4.62,4.25,4.25,4.0,5.0,3.0,3.75,0,0.5009506461458304,0.4973794097680466,0.4991650279569385
11-9121.00,Natural Sciences Managers,5.0,4.75,5.0,4.25,4.0,4.88,4.38,4.75,3.88,4.12,3.88,4.0,3.75,3.12,3.88,2.88,4.25,3.88,2.88,0.25,0.0,1.62,2.12,1.5,0.0,1.12,0.0,2.0,4.12,3.88,3.88,4.12,3.62,3.0,4.62,0,0.2191181062125906,0.2297886315843698,0.2244533688984802
13-1081.02,Logistics Analysts,4.0,4.0,4.0,3.38,3.75,0.75,4.12,3.75,3.0,4.0,3.0,3.12,2.88,2.88,2.88,2.88,4.0,2.62,1.75,0.0,0.0,1.75,2.0,0.0,0.0,0.5,0.0,2.25,4.0,4.0,3.88,3.38,2.5,2.25,2.88,1,0.5295430610006306,0.5309551729105237,0.5302491169555772
13-2031.00,Budget Analysts,4.0,4.0,3.75,3.38,3.5,0.25,3.88,3.38,2.75,3.38,3.0,3.0,2.88,2.75,2.88,2.75,3.5,3.0,0.88,0.0,0.0,1.12,1.0,0.0,0.0,0.0,0.0,0.5,3.62,3.5,3.0,3.0,3.75,2.0,2.75,1,0.8869159585711941,0.8843456883254248,0.8856308234483095
13-2099.01,Financial Quantitative Analysts,4.5,4.0,3.88,3.75,4.88,1.5,4.62,4.0,3.25,3.12,3.0,3.38,3.5,2.88,3.38,2.62,4.12,1.5,1.25,0.12,0.0,2.5,1.12,0.25,0.0,0.12,0.0,1.5,4.12,3.75,3.75,3.12,2.88,1.5,2.5,1,0.8208013055450465,0.8133824360900235,0.817091870817535
15-1243.01,Data Warehousing Specialists,4.0,3.62,3.38,3.62,3.25,1.25,3.88,3.25,2.75,3.12,3.0,3.38,3.12,2.62,3.38,2.62,3.5,3.38,2.75,0.88,0.0,3.75,2.25,1.62,0.25,1.0,0.25,2.25,3.62,3.5,3.5,2.75,1.38,1.62,2.0,1,0.5450099712404608,0.5408073955995434,0.5429086834200021
15-2021.00,Mathematicians,5.0,4.12,4.5,4.25,6.0,4.62,5.12,5.25,3.75,3.0,2.75,2.75,2.5,1.75,3.75,1.75,4.88,2.62,0.75,0.0,0.0,2.62,0.75,0.0,0.0,0.0,0.0,0.5,4.25,3.88,3.5,2.75,0.75,0.75,1.75,1,0.7859225685642741,0.7688265820884226,0.7773745753263483
15-2031.00,Operations Research Analysts,4.38,4.0,4.0,4.0,4.75,3.12,4.38,4.12,3.12,3.0,3.0,2.88,2.88,2.62,3.12,2.5,4.38,4.38,1.38,0.12,0.0,2.75,0.62,0.0,0.0,0.38,0.0,1.62,4.25,4.0,4.38,3.0,1.38,0.88,2.62,1,0.7741868745323472,0.7656868186842303,0.7699368466082888
15-2041.00,Statisticians,4.88,3.88,4.38,4.25,5.75,4.0,4.88,3.88,3.12,3.12,2.75,2.88,2.75,1.75,3.12,1.88,4.12,3.5,0.75,0.0,0.0,3.62,0.88,0.25,0.0,0.0,0.0,1.12,3.88,3.12,3.12,2.88,1.25,1.0,2.38,1,0.8616088521702068,0.8468677966865243,0.8542383244283656
15-2041.01,Biostatisticians,5.12,4.25,4.88,4.5,5.12,4.62,4.88,4.88,3.88,3.62,2.88,3.0,2.88,2.5,4.0,2.75,4.5,3.38,1.0,0.62,0.0,4.0,0.75,0.12,0.0,0.0,0.0,1.25,4.38,3.88,3.75,3.5,1.25,1.0,3.12,1,0.6543237595666938,0.641249419541225,0.6477865895539594
