O*NET-SOC Code,Title,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Auto label value,Auto probability0,Auto probability1,Auto probability2,Auto probability
11-1011.03,Chief Sustainability Officers,4.25,4.0,4.25,4.12,3.12,1.88,4.12,3.88,3.75,4.0,3.88,3.88,4.0,3.25,3.38,3.25,4.12,3.12,1.12,0.25,0.0,1.12,1.88,1.0,0.0,0.0,0.0,1.5,4.0,4.0,4.0,3.88,3.12,2.62,4.0,0,0.2877629403285482,0.24773819263594987,0.35092763690937545,0.2954762566246245
11-1021.00,General and Operations Managers,4.0,4.0,3.88,4.0,2.5,1.12,4.0,3.62,3.25,4.0,4.0,3.88,3.5,3.62,3.25,3.12,3.75,3.12,1.12,0.0,0.0,0.62,2.62,1.75,0.0,1.38,0.0,2.12,3.75,3.0,3.12,3.75,3.38,3.25,3.88,0,0.2641047408686745,0.18409476691124382,0.35007051599143324,0.26609000792378384
11-2011.00,Advertising and Promotions Managers,4.0,4.12,3.88,4.12,3.25,0.62,4.12,4.12,3.25,4.25,4.0,4.12,3.88,3.75,3.0,3.25,3.88,3.12,0.75,0.12,0.0,0.75,0.62,0.0,0.0,0.0,0.0,1.0,4.0,3.12,3.75,3.88,3.62,2.62,3.88,0,0.3125341061802942,0.30346722184378905,0.3685510436309869,0.3281841238850234
11-2021.00,Marketing Managers,4.25,4.12,3.88,4.12,3.12,1.5,4.25,4.12,3.5,4.25,4.0,3.75,4.38,3.88,3.5,3.25,3.88,3.62,0.88,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,1.38,4.0,3.75,3.75,3.75,3.75,2.75,3.88,0,0.2869827828859002,0.2795241602706824,0.3479535193829406,0.30482015417984104
11-2022.00,Sales Managers,4.0,4.0,4.0,4.12,3.25,0.62,4.0,3.88,3.75,4.75,4.12,4.12,4.38,3.88,3.62,3.88,3.88,2.88,0.88,0.0,0.0,0.88,1.75,1.25,0.0,0.0,0.0,1.38,4.0,3.75,3.88,3.88,3.62,3.0,4.0,0,0.21733616692017677,0.17557846269073707,0.30429672323055,0.23240378428048794
11-3012.00,Administrative Services Managers,4.0,4.0,3.75,3.88,2.12,0.0,3.88,3.38,3.25,3.62,3.75,3.62,3.12,3.25,3.25,3.25,3.12,2.5,0.75,0.25,0.0,0.62,2.25,1.0,0.0,1.25,0.0,2.12,3.12,3.12,3.12,4.0,2.88,2.88,3.75,0,0.32068235815677326,0.23089663544351424,0.39585238897862496,0.3158104608596375
11-3021.00,Computer and Information Systems Managers,4.0,4.0,4.0,3.88,3.12,1.38,4.0,3.88,3.5,4.38,3.75,3.88,3.5,3.25,3.88,3.12,3.88,3.38,2.0,2.0,0.0,2.62,2.88,1.62,0.62,2.5,0.75,3.0,3.75,3.5,3.88,3.75,3.38,3.12,3.75,0,0.2932442534673214,0.31743220424897345,0.3571036165596979,0.3225933580919976
11-3031.00,Financial Managers,4.0,4.0,4.0,4.0,3.38,0.38,4.0,4.0,4.0,4.5,4.0,3.88,4.0,3.5,3.88,3.88,3.5,2.5,0.5,0.0,0.0,0.38,0.75,0.38,0.0,0.0,0.12,0.75,4.0,3.38,3.62,4.0,3.38,1.88,4.0,0,0.26579663263675,0.24224164554823346,0.3411901618220554,0.283076146669013
11-3031.01,Treasurers and Controllers,4.25,4.25,4.12,4.25,4.25,0.25,4.75,4.25,3.38,4.5,3.62,3.62,3.75,3.12,3.12,2.75,4.38,3.12,0.62,0.0,0.0,1.0,1.12,0.12,0.0,0.0,0.0,1.38,4.62,4.25,4.25,4.0,5.0,3.0,3.75,0,0.38011540405145183,0.40615789043485506,0.394583249636554,0.39361884804095365
11-3031.03,Investment Fund Managers,4.25,4.12,3.88,4.12,3.62,0.0,4.0,3.88,3.12,4.0,3.38,3.12,3.5,3.5,2.88,3.0,3.88,1.62,1.38,0.0,0.0,1.12,1.5,0.0,0.0,0.0,0.0,0.75,4.25,3.75,3.75,3.88,3.0,2.12,3.38,0,0.443028572746897,0.5026088852972457,0.44703743509326443,0.4642249643791357
