PWGTP,SOCP,PUMA,ST,
21,-1,3401,17,
97,-1,3401,17,
17,-1,3401,17,
21,-1,3401,17,
19,-1,3401,17,
49,353031,3401,17,
23,353031,3401,17,
128,113021,3401,17,
120,251000,3401,17,
69,-1,3401,17,
64,-1,3401,17,
64,411012,3401,17,
83,399031,3401,17,
64,132011,3401,17,
117,533054,3401,17,
172,259040,3401,17,
72,399011,3401,17,
84,-1,3401,17,
78,-1,3401,17,
123,151212,3401,17,
122,111021,3401,17,
132,395092,3401,17,
168,436014,3401,17,
161,1110XX,3401,17,
87,112022,3401,17,
71,-1,3401,17,
64,-1,3401,17,
71,-1,3401,17,
71,411011,3401,17,
68,493031,3401,17,
100,291141,3401,17,
78,-1,3401,17,
77,399031,3401,17,
68,395012,3401,17,
79,-1,3401,17,
74,-1,3401,17,
82,332011,3401,17,
76,272022,3401,17,
84,-1,3401,17,
85,-1,3401,17,
76,131070,3401,17,
67,291141,3401,17,
49,-1,3401,17,
50,412031,3401,17,
74,-1,3401,17,
109,271025,3401,17,
114,472061,3401,17,
144,-1,3401,17,
115,252010,3401,17,
127,414010,3401,17,
120,-1,3401,17,
129,-1,3401,17,
60,435061,3401,17,
68,131161,3401,17,
107,1191XX,3401,17,
130,37201X,3401,17,
119,515112,3401,17,
119,112021,3401,17,
105,-1,3401,17,
102,-1,3401,17,
132,-1,3401,17,
69,-1,3401,17,
247,5120XX,3401,17,
295,5120XX,3401,17,
225,-1,3401,17,
136,411011,3401,17,
125,434051,3401,17,
91,-1,3401,17,
105,151252,3401,17,
113,113031,3401,17,
120,131070,3401,17,
137,113071,3401,17,
163,-1,3401,17,
154,-1,3401,17,
109,412031,3401,17,
70,2530XX,3401,17,
62,272022,3401,17,
140,537065,3401,17,
87,414010,3401,17,
105,291020,3401,17,
119,-1,3401,17,
112,-1,3401,17,
65,119021,3401,17,
76,353023,3401,17,
80,499051,3401,17,
79,-1,3401,17,
92,-1,3401,17,
73,-1,3401,17,
101,132020,3401,17,
118,251000,3401,17,
111,1191XX,3401,17,
86,1110XX,3401,17,
107,232093,3401,17,
135,151252,3401,17,
120,1191XX,3401,17,
152,-1,3401,17,
73,-1,3401,17,
75,-1,3401,17,
167,291141,3401,17,
64,151252,3401,17,
110,254022,3401,17,
106,119030,3401,17,
75,2310XX,3401,17,
79,252010,3401,17,
90,-1,3401,17,
90,-1,3401,17,
83,151252,3401,17,
78,132011,3401,17,
70,-1,3401,17,
55,353041,3401,17,
65,132011,3401,17,
54,533030,3401,17,
74,395012,3401,17,
65,333021,3401,17,
66,411011,3401,17,
83,131030,3401,17,
125,436011,3401,17,
87,493011,3401,17,
135,-1,3401,17,
95,-1,3401,17,
134,119051,3401,17,
254,537062,3401,17,
215,292061,3401,17,
251,-1,3401,17,
216,-1,3401,17,
215,-1,3401,17,
69,513011,3401,17,
65,533053,3401,17,
93,516093,3401,17,
92,292031,3401,17,
135,436014,3401,17,
77,252030,3401,17,
86,194031,3401,17,
284,493031,3401,17,
251,-1,3401,17,
284,-1,3401,17,
336,-1,3401,17,
82,1520XX,3401,17,
139,414010,3401,17,
104,434161,3401,17,
112,533030,3401,17,
108,537062,3401,17,
116,-1,3401,17,
98,472140,3401,17,
97,-1,3401,17,
107,-1,3401,17,
112,-1,3401,17,
118,113031,3401,17,
121,353023,3401,17,
73,412031,3401,17,
60,252020,3401,17,
77,-1,3401,17,
77,-1,3401,17,
77,-1,3401,17,
93,435053,3401,17,
108,1191XX,3401,17,
129,399031,3401,17,
106,252010,3401,17,
87,252030,3401,17,
111,-1,3401,17,
119,-1,3401,17,
120,412031,3401,17,
123,414010,3401,17,
146,-1,3401,17,
98,151251,3401,17,
100,291123,3401,17,
59,1191XX,3401,17,
57,-1,3401,17,
59,537065,3401,17,
68,-1,3401,17,
57,533030,3401,17,
88,-1,3401,17,
93,-1,3401,17,
460,431011,3401,17,
460,-1,3401,17,
557,-1,3401,17,
343,-1,3401,17,
392,513093,3401,17,
581,-1,3401,17,
581,-1,3401,17,
581,-1,3401,17,
327,-1,3401,17,
79,151252,3401,17,
71,131111,3401,17,
52,-1,3401,17,
69,-1,3401,17,
90,-1,3401,17,
113,-1,3401,17,
111,151252,3401,17,
106,1191XX,3401,17,
107,-1,3401,17,
96,-1,3401,17,
136,172070,3401,17,
122,-1,3401,17,
128,-1,3401,17,
148,-1,3401,17,
444,319092,3401,17,
493,514120,3401,17,
561,-1,3401,17,
559,-1,3401,17,
589,-1,3401,17,
58,-1,3401,17,
67,434051,3401,17,
71,252020,3401,17,
82,-1,3401,17,
86,-1,3401,17,
63,132070,3401,17,
63,112022,3401,17,
84,-1,3401,17,
86,-1,3401,17,
69,132053,3401,17,
70,292061,3401,17,
117,291210,3401,17,
104,436014,3401,17,
104,439061,3401,17,
122,436014,3401,17,
121,-1,3401,17,
112,-1,3401,17,
117,434051,3401,17,
141,-1,3401,17,
131,-1,3401,17,
321,412010,3401,17,
367,352010,3401,17,
307,-1,3401,17,
325,-1,3401,17,
161,-1,3401,17,
56,-1,3401,17,
56,113031,3401,17,
87,151252,3401,17,
70,5120XX,3401,17,
65,-1,3401,17,
64,-1,3401,17,
70,1110XX,3401,17,
69,-1,3401,17,
69,414010,3401,17,
72,-1,3401,17,
69,-1,3401,17,
100,537064,3401,17,
69,434171,3401,17,
57,514120,3401,17,
94,419031,3401,17,
75,251000,3401,17,
68,-1,3401,17,
54,-1,3401,17,
261,151252,3401,17,
331,151252,3401,17,
91,536061,3401,17,
86,119030,3401,17,
85,-1,3401,17,
86,-1,3401,17,
101,-1,3401,17,
102,-1,3401,17,
103,-1,3401,17,
113,131082,3401,17,
76,112022,3401,17,
55,131070,3401,17,
88,419020,3401,17,
72,151211,3401,17,
86,439061,3401,17,
108,412010,3401,17,
100,-1,3401,17,
104,434171,3401,17,
99,414010,3401,17,
100,436011,3401,17,
64,132011,3401,17,
74,113021,3401,17,
68,-1,3401,17,
67,-1,3401,17,
61,412031,3401,17,
255,472111,3401,17,
269,434051,3401,17,
96,-1,3401,17,
66,131141,3401,17,
102,131121,3401,17,
67,537065,3401,17,
69,-1,3401,17,
51,-1,3401,17,
62,519120,3401,17,
61,412031,3401,17,
82,311122,3401,17,
130,419099,3401,17,
119,131070,3401,17,
137,519061,3401,17,
59,1940YY,3401,17,
106,211029,3401,17,
108,132011,3401,17,
113,-1,3401,17,
137,-1,3401,17,
143,1110XX,3401,17,
146,-1,3401,17,
123,131041,3401,17,
116,472070,3401,17,
126,37201X,3401,17,
60,492011,3401,17,
63,254022,3401,17,
112,291141,3401,17,
115,131199,3401,17,
110,434171,3401,17,
76,113031,3401,17,
60,-1,3401,17,
230,471011,3401,17,
114,29112X,3401,17,
117,-1,3401,17,
127,-1,3401,17,
136,-1,3401,17,
143,291041,3401,17,
114,-1,3401,17,
78,211012,3401,17,
103,-1,3401,17,
212,113031,3401,17,
258,273031,3401,17,
293,-1,3401,17,
291,-1,3401,17,
57,131023,3401,17,
63,-1,3401,17,
110,-1,3401,17,
132,131161,3401,17,
97,111021,3401,17,
78,433021,3401,17,
240,292052,3401,17,
237,172141,3401,17,
143,252030,3401,17,
127,252030,3401,17,
144,-1,3401,17,
145,-1,3401,17,
143,-1,3401,17,
60,412031,3401,17,
67,472031,3401,17,
66,131082,3401,17,
156,113071,3401,17,
125,111021,3401,17,
114,-1,3401,17,
114,-1,3401,17,
129,-1,3401,17,
141,414010,3401,17,
124,1110XX,3401,17,
124,-1,3401,17,
131,533030,3401,17,
115,533030,3401,17,
111,1721YY,3401,17,
124,132052,3401,17,
109,-1,3401,17,
116,-1,3401,17,
125,-1,3401,17,
116,-1,3401,17,
139,-1,3401,17,
126,132052,3401,17,
119,1110XX,3401,17,
62,49904X,3401,17,
63,-1,3401,17,
148,291210,3401,17,
133,-1,3401,17,
81,-1,3401,17,
95,519080,3401,17,
72,439061,3401,17,
383,-1,3401,17,
476,412031,3401,17,
116,-1,3401,17,
157,-1,3401,17,
123,-1,3401,17,
131,-1,3401,17,
57,372012,3401,17,
68,472031,3401,17,
150,-1,3401,17,
198,-1,3401,17,
27,-1,3401,17,
76,-1,3401,17,
80,-1,3401,17,
16,999920,3401,17,
20,-1,3401,17,
22,-1,3401,17,
88,-1,3401,17,
116,-1,3401,17,
94,111021,3401,17,
130,-1,3401,17,
121,-1,3401,17,
148,-1,3401,17,
101,1110XX,3401,17,
125,291127,3401,17,
130,-1,3401,17,
140,-1,3401,17,
108,434051,3401,17,
135,151252,3401,17,
142,119111,3401,17,
170,-1,3401,17,
103,211019,3401,17,
60,-1,3401,17,
78,434051,3401,17,
96,433011,3401,17,
143,537062,3401,17,
71,37201X,3401,17,
94,-1,3401,17,
74,173023,3401,17,
69,-1,3401,17,
107,434051,3401,17,
65,434051,3401,17,
94,436014,3401,17,
60,-1,3401,17,
116,112021,3401,17,
105,119141,3401,17,
124,131070,3401,17,
102,151299,3401,17,
132,-1,3401,17,
173,999920,3401,17,
70,-1,3401,17,
69,-1,3401,17,
73,471011,3401,17,
76,252050,3401,17,
93,-1,3401,17,
56,-1,3401,17,
74,132011,3401,17,
75,172081,3401,17,
129,1191XX,3401,17,
123,435032,3401,17,
79,113031,3401,17,
67,-1,3401,17,
285,1191XX,3401,17,
171,-1,3401,17,
163,-1,3401,17,
179,311122,3401,17,
79,151252,3401,17,
79,29112X,3401,17,
74,-1,3401,17,
79,-1,3401,17,
102,131070,3401,17,
118,132052,3401,17,
109,-1,3401,17,
118,-1,3401,17,
119,414010,3401,17,
121,21109X,3401,17,
90,21109X,3401,17,
86,5120XX,3401,17,
107,119141,3401,17,
105,-1,3401,17,
186,434081,3401,17,
155,37201X,3401,17,
135,4520XX,3401,17,
139,-1,3401,17,
80,151241,3401,17,
88,1191XX,3401,17,
61,2310XX,3401,17,
61,531000,3401,17,
141,112022,3401,17,
135,113031,3401,17,
109,131070,3401,17,
115,252020,3401,17,
134,-1,3401,17,
114,-1,3401,17,
84,252030,3401,17,
74,131030,3401,17,
75,272022,3401,17,
88,-1,3401,17,
75,132051,3401,17,
60,1191XX,3401,17,
103,-1,3401,17,
103,-1,3401,17,
153,-1,3401,17,
164,-1,3401,17,
69,1940YY,3401,17,
73,119021,3401,17,
62,1110XX,3401,17,
100,533030,3401,17,
74,113021,3401,17,
77,112021,3401,17,
73,111021,3401,17,
71,131121,3401,17,
90,-1,3401,17,
95,-1,3401,17,
57,533030,3401,17,
69,399031,3401,17,
131,151252,3401,17,
106,151252,3401,17,
108,-1,3401,17,
100,113013,3401,17,
107,-1,3401,17,
317,373011,3401,17,
408,516011,3401,17,
371,372012,3401,17,
75,132052,3401,17,
67,119030,3401,17,
78,-1,3401,17,
70,-1,3401,17,
85,-1,3401,17,
