WGTP,PWGTP,SOCP,ST,
0,13,-1,23,
0,16,311131,23,
0,8,-1,23,
0,68,353023,23,
0,33,352021,23,
0,53,434051,23,
0,61,232099,23,
0,61,-1,23,
0,21,-1,23,
0,29,273099,23,
0,45,412031,23,
0,42,439XXX,23,
0,64,513020,23,
0,105,-1,23,
0,19,-1,23,
0,70,291031,23,
0,12,211012,23,
0,56,436014,23,
0,66,412010,23,
0,26,-1,23,
0,73,132011,23,
0,56,353023,23,
0,55,253041,23,
0,47,412010,23,
0,103,-1,23,
0,7,-1,23,
0,188,-1,23,
0,30,-1,23,
0,16,-1,23,
0,16,259040,23,
0,60,273091,23,
0,19,-1,23,
0,6,-1,23,
0,46,33909X,23,
0,59,399032,23,
0,40,272011,23,
0,13,412010,23,
0,3,5350XX,23,
0,15,-1,23,
0,83,4520XX,23,
0,58,352010,23,
0,70,439061,23,
0,11,-1,23,
0,79,33909X,23,
0,26,-1,23,
0,10,232099,23,
0,46,-1,23,
0,60,537065,23,
0,89,-1,23,
0,15,-1,23,
0,51,-1,23,
0,32,359021,23,
0,23,399032,23,
0,86,-1,23,
0,26,352021,23,
0,70,472061,23,
0,59,-1,23,
0,64,5191XX,23,
0,56,-1,23,
0,40,-1,23,
0,21,37201X,23,
0,67,353031,23,
0,19,-1,23,
0,34,-1,23,
0,13,-1,23,
0,62,252030,23,
0,60,439061,23,
0,61,412031,23,
0,11,113031,23,
0,5,151211,23,
0,17,-1,23,
0,77,-1,23,
0,72,512041,23,
0,20,-1,23,
0,33,412031,23,
0,27,352010,23,
0,6,253041,23,
0,10,-1,23,
0,37,537065,23,
0,26,31909X,23,
0,117,37201X,23,
0,69,-1,23,
0,44,37201X,23,
0,104,-1,23,
0,69,471011,23,
0,34,373011,23,
0,82,211012,23,
0,14,273091,23,
0,83,434051,23,
0,24,412010,23,
0,59,-1,23,
0,22,434121,23,
0,57,373011,23,
0,55,113013,23,
0,135,-1,23,
0,24,-1,23,
0,64,412010,23,
0,16,-1,23,
0,191,352010,23,
0,3,352021,23,
0,118,352021,23,
0,36,251000,23,
0,14,211012,23,
0,53,537065,23,
0,153,-1,23,
0,35,412010,23,
0,27,-1,23,
0,19,-1,23,
0,12,-1,23,
0,77,399011,23,
0,44,1110XX,23,
0,56,-1,23,
0,13,-1,23,
0,118,-1,23,
0,62,412031,23,
0,7,493023,23,
0,54,412010,23,
0,10,-1,23,
0,25,-1,23,
0,19,-1,23,
0,46,434171,23,
0,48,472061,23,
0,107,-1,23,
0,16,-1,23,
0,60,359021,23,
0,13,-1,23,
0,62,-1,23,
0,6,-1,23,
0,3,439061,23,
0,8,434131,23,
0,77,252010,23,
0,45,359021,23,
0,13,-1,23,
0,23,353031,23,
0,35,372012,23,
0,157,-1,23,
0,122,-1,23,
0,17,-1,23,
0,17,17302X,23,
0,103,-1,23,
0,12,37201X,23,
0,4,5350XX,23,
0,22,5191XX,23,
0,66,393031,23,
0,79,537064,23,
0,86,439071,23,
0,32,-1,23,
0,36,-1,23,
0,96,537062,23,
0,36,-1,23,
0,23,-1,23,
0,5,397010,23,
0,48,232011,23,
0,85,211012,23,
0,153,-1,23,
0,33,359021,23,
0,48,472061,23,
0,38,259040,23,
0,29,-1,23,
0,37,273099,23,
0,79,399041,23,
0,1,5350XX,23,
0,8,-1,23,
0,20,-1,23,
0,50,412010,23,
0,10,-1,23,
0,5,537065,23,
0,41,-1,23,
0,45,259040,23,
0,49,537064,23,
0,17,-1,23,
0,9,-1,23,
0,53,259040,23,
0,58,399041,23,
0,19,113013,23,
0,72,399032,23,
0,31,399041,23,
0,20,-1,23,
0,41,537062,23,
0,39,373011,23,
0,118,-1,23,
0,9,-1,23,
0,102,-1,23,
0,57,472031,23,
0,152,-1,23,
0,25,151252,23,
0,68,353031,23,
0,29,-1,23,
0,5,211012,23,
0,22,-1,23,
0,7,-1,23,
0,70,-1,23,
0,79,372012,23,
0,18,-1,23,
0,64,353031,23,
0,16,472070,23,
0,72,-1,23,
0,12,412010,23,
0,18,252030,23,
0,28,5350XX,23,
0,32,434171,23,
0,17,352010,23,
0,7,-1,23,
0,17,-1,23,
0,12,-1,23,
0,67,5191XX,23,
0,76,151230,23,
0,80,472061,23,
0,60,352010,23,
0,63,151252,23,
0,23,-1,23,
0,74,259040,23,
0,26,499096,23,
0,63,252020,23,
0,40,259040,23,
0,37,359021,23,
0,93,352010,23,
0,30,5191XX,23,
0,11,434131,23,
0,8,37201X,23,
0,10,-1,23,
0,33,5191XX,23,
0,26,3930XX,23,
0,20,393031,23,
